Word                     	Lemmatized               	           Frequency
caused                   	cause                    	                   5
set                      	set                      	                   5
associations             	association              	                   5
2006                     	2006                     	                   5
made                     	make                     	                   5
enabled                  	enable                   	                   5
rates                    	rate                     	                   5
great                    	great                    	                   5
able                     	able                     	                   5
corneal                  	corneal                  	                   5
endothelial              	endothelial              	                   5
rapid                    	rapid                    	                   5
dIR                      	dIR                      	                   5
fluorescence             	fluorescence             	                   5
morphology               	morphology               	                   5
expressions              	expression               	                   5
radiation                	radiation                	                   5
unresectable             	unresectable             	                   5
mESHD010190              	mESHD010190              	                   5
cFRT                     	cFRT                     	                   5
older                    	old                      	                   5
adjusted                 	adjust                   	                   5
months                   	month                    	                   5
distribution             	distribution             	                   5
cost                     	cost                     	                   5
effectiveness            	effectiveness            	                   5
around                   	around                   	                   5
traditional              	traditional              	                   5
lebanon                  	lebanon                  	                   5
greater                  	great                    	                   5
prepared                 	prepared                 	                   5
lower                    	low                      	                   5
source                   	source                   	                   5
sensitivity              	sensitivity              	                   5
mnO2                     	mnO2                     	                   5
selected                 	select                   	                   5
mESHD015034              	mESHD015034              	                   5
useful                   	useful                   	                   5
meta                     	meta                     	                   5
mild                     	mild                     	                   5
reuse                    	reuse                    	                   5
salt                     	salt                     	                   5
sizes                    	size                     	                   5
nm                       	nm                       	                   5
mESHD000431              	mESHD000431              	                   5
21                       	21                       	                   5
publications             	publication              	                   5
depth                    	depth                    	                   5
mESHD007971              	mESHD007971              	                   5
chronic                  	chronic                  	                   5
trembler                 	trembler                 	                   5
pharmacological          	pharmacological          	                   5
pVA                      	pVA                      	                   5
sponges                  	sponge                   	                   5
mESHD001281              	mESHD001281              	                   5
22                       	22                       	                   5
19                       	19                       	                   5
composite                	composite                	                   5
flaws                    	flaw                     	                   5
wDL                      	wDL                      	                   5
adults                   	adult                    	                   5
capacitance              	capacitance              	                   5
reverse                  	reverse                  	                   5
constituents             	constituent              	                   5
54                       	54                       	                   5
indicator                	indicator                	                   5
suboccipital             	suboccipital             	                   5
line                     	line                     	                   5
16                       	16                       	                   5
mESHD009223              	mESHD009223              	                   5
sG                       	sG                       	                   5
intelligence             	intelligence             	                   5
mESHC009495              	mESHC009495              	                   5
e171                     	e171                     	                   5
mESHD006323              	mESHD006323              	                   5
trainees                 	trainee                  	                   5
institutions             	institution              	                   5
australia                	australia                	                   5
kWh                      	kWh                      	                   5
marrow                   	marrow                   	                   5
acclimation              	acclimation              	                   5
rs972936                 	rs972936                 	                   5
972936                   	972936                   	                   5
alternative              	alternative              	                   4
achieve                  	achieve                  	                   4
dual                     	dual                     	                   4
since                    	since                    	                   4
nCBIGene5053             	nCBIGene5053             	                   4
antibodies               	antibody                 	                   4
domain                   	domain                   	                   4
generated                	generate                 	                   4
library                  	library                  	                   4
affinities               	affinity                 	                   4
wild                     	wild                     	                   4
promise                  	promise                  	                   4
second                   	second                   	                   4
monolayer                	monolayer                	                   4
assembly                 	assembly                 	                   4
require                  	require                  	                   4
cyanosurf                	cyanosurf                	                   4
concept                  	concept                  	                   4
added                    	add                      	                   4
infrared                 	infrared                 	                   4
radicals                 	radical                  	                   4
theory                   	theory                   	                   4
eight                    	eight                    	                   4
spontaneous              	spontaneous              	                   4
strength                 	strength                 	                   4
bond                     	bond                     	                   4
likely                   	likely                   	                   4
nCBITaxon9615            	nCBITaxon9615            	                   4
nanoparticle             	nanoparticle             	                   4
chain                    	chain                    	                   4
exfoliation              	exfoliation              	                   4
existing                 	exist                    	                   4
far                      	far                      	                   4
controlling              	control                  	                   4
technique                	technique                	                   4
linked                   	link                     	                   4
receiving                	receive                  	                   4
al                       	al                       	                   4
males                    	male                     	                   4
identify                 	identify                 	                   4
current                  	current                  	                   4
scale                    	scale                    	                   4
combining                	combine                  	                   4
providing                	provide                  	                   4
tools                    	tool                     	                   4
diverse                  	diverse                  	                   4
tasks                    	task                     	                   4
particular               	particular               	                   4
availability             	availability             	                   4
implementation           	implementation           	                   4
mESHC004784              	mESHC004784              	                   4
mESHD008670              	mESHD008670              	                   4
crystal                  	crystal                  	                   4
ray                      	ray                      	                   4
raman                    	raman                    	                   4
even                     	even                     	                   4
pS                       	pS                       	                   4
tertiary                 	tertiary                 	                   4
delivery                 	delivery                 	                   4
question                 	question                 	                   4
five                     	five                     	                   4
applied                  	apply                    	                   4
decrease                 	decrease                 	                   4
metals                   	metal                    	                   4
mainly                   	mainly                   	                   4
uptake                   	uptake                   	                   4
000                      	000                      	                   4
optical                  	optical                  	                   4
measured                 	measure                  	                   4
16S                      	16S                      	                   4
spectrometry             	spectrometry             	                   4
nCBITaxon208224          	nCBITaxon208224          	                   4
nCBITaxon303             	nCBITaxon303             	                   4
varying                  	vary                     	                   4
600                      	600                      	                   4
besides                  	besides                  	                   4
validity                 	validity                 	                   4
measure                  	measure                  	                   4
80                       	80                       	                   4
ability                  	ability                  	                   4
nCBITaxon11118           	nCBITaxon11118           	                   4
mESHD009838              	mESHD009838              	                   4
phosphonate              	phosphonate              	                   4
unprotected              	unprotected              	                   4
optimized                	optimize                 	                   4
investigations           	investigation            	                   4
simple                   	simple                   	                   4
progenitor               	progenitor               	                   4
mESHD009765              	mESHD009765              	                   4
initiation               	initiation               	                   4
rNA                      	rNA                      	                   4
quantitative             	quantitative             	                   4
fat                      	fat                      	                   4
involvement              	involvement              	                   4
affected                 	affected                 	                   4
nCBIGene2489             	nCBIGene2489             	                   4
stimulation              	stimulation              	                   4
controls                 	control                  	                   4
maintenance              	maintenance              	                   4
mESHD000079225           	mESHD000079225           	                   4
precursors               	precursor                	                   4
substrates               	substrate                	                   4
monitoring               	monitoring               	                   4
intervention             	intervention             	                   4
calculated               	calculate                	                   4
kcal                     	kcal                     	                   4
mutants                  	mutant                   	                   4
demands                  	demand                   	                   4
basketball               	basketball               	                   4
pD                       	pD                       	                   4
correlations             	correlation              	                   4
fecal                    	fecal                    	                   4
progression              	progression              	                   4
eP                       	eP                       	                   4
gut                      	gut                      	                   4
nCBITaxon33038           	nCBITaxon33038           	                   4
pathways                 	pathway                  	                   4
plants                   	plant                    	                   4
trends                   	trend                    	                   4
2018                     	2018                     	                   4
retrospective            	retrospective            	                   4
pregnancy                	pregnancy                	                   4
particularly             	particularly             	                   4
hormones                 	hormone                  	                   4
resulted                 	result                   	                   4
utilization              	utilization              	                   4
social                   	social                   	                   4
duration                 	duration                 	                   4
reference                	reference                	                   4
cloud                    	cloud                    	                   4
computing                	compute                  	                   4
deep                     	deep                     	                   4
sensors                  	sensor                   	                   4
end                      	end                      	                   4
comparing                	compare                  	                   4
compliance               	compliance               	                   4
tele                     	tele                     	                   4
supplementary            	supplementary            	                   4
cause                    	cause                    	                   4
mESHD007153              	mESHD007153              	                   4
kO                       	kO                       	                   4
per                      	per                      	                   4
comprehensive            	comprehensive            	                   4
identification           	identification           	                   4
epidemiological          	epidemiological          	                   4
modelling                	model                    	                   4
areas                    	area                     	                   4
longitudinal             	longitudinal             	                   4
2013                     	2013                     	                   4
economic                 	economic                 	                   4
estimation               	estimation               	                   4
scattering               	scatter                  	                   4
predicted                	predict                  	                   4
whether                  	whether                  	                   4
28                       	28                       	                   4
relationship             	relationship             	                   4
space                    	space                    	                   4
heterogeneous            	heterogeneous            	                   4
cECs                     	cECs                     	                   4
rabbit                   	rabbit                   	                   4
nCBITaxon9986            	nCBITaxon9986            	                   4
test                     	test                     	                   4
delta                    	delta                    	                   4
patterns                 	pattern                  	                   4
difference               	difference               	                   4
vital                    	vital                    	                   4
survey                   	survey                   	                   4
aggregation              	aggregation              	                   4
means                    	mean                     	                   4
arene                    	arene                    	                   4
classes                  	class                    	                   4
sampled                  	sample                   	                   4
insights                 	insight                  	                   4
aromatic                 	aromatic                 	                   4
mPDA2CyC2                	mPDA2CyC2                	                   4
mESHD011108              	mESHD011108              	                   4
modulus                  	modulus                  	                   4
band                     	band                     	                   4
interventional           	interventional           	                   4
utilizing                	utilize                  	                   4
component                	component                	                   4
colon                    	colon                    	                   4
metasurfaces             	metasurfaces             	                   4
terahertz                	terahertz                	                   4
feature                  	feature                  	                   4
mESHD012238              	mESHD012238              	                   4
mESHD000475              	mESHD000475              	                   4
shell                    	shell                    	                   4
hydrogenations           	hydrogenation            	                   4
nitroarenes              	nitroarenes              	                   4
pores                    	pore                     	                   4
friendly                 	friendly                 	                   4
room                     	room                     	                   4
supported                	support                  	                   4
larger                   	large                    	                   4
catalytic                	catalytic                	                   4
heart                    	heart                    	                   4
27                       	27                       	                   4
aMR                      	aMR                      	                   4
mESHC467077              	mESHC467077              	                   4
36                       	36                       	                   4
treat                    	treat                    	                   4
simulations              	simulation               	                   4
white                    	white                    	                   4
reflux                   	reflux                   	                   4
trapping                 	trap                     	                   4
microscopy               	microscopy               	                   4
lumbar                   	lumbar                   	                   4
enrolled                 	enrol                    	                   4
transfusion              	transfusion              	                   4
hemostatic               	hemostatic               	                   4
standardized             	standardize              	                   4
abundance                	abundance                	                   4
schwann                  	schwann                  	                   4
nCBIGene18858            	nCBIGene18858            	                   4
nCBITaxon136217          	nCBITaxon136217          	                   4
nCBIGene5376             	nCBIGene5376             	                   4
multifunctional          	multifunctional          	                   4
mESHD017886              	mESHD017886              	                   4
suitable                 	suitable                 	                   4
nCBITaxon1280            	nCBITaxon1280            	                   4
became                   	become                   	                   4
opaque                   	opaque                   	                   4
aged                     	age                      	                   4
detect                   	detect                   	                   4
determined               	determine                	                   4
fetuses                  	fetus                    	                   4
11                       	11                       	                   4
livedoid                 	livedoid                 	                   4
mESHD020144              	mESHD020144              	                   4
proper                   	proper                   	                   4
biodiversity             	biodiversity             	                   4
mESHD002389              	mESHD002389              	                   4
obstetric                	obstetric                	                   4
integrated               	integrate                	                   4
evaluate                 	evaluate                 	                   4
differentiated           	differentiate            	                   4
amplification            	amplification            	                   4
mESHD019207              	mESHD019207              	                   4
modification             	modification             	                   4
ultra                    	ultra                    	                   4
loading                  	load                     	                   4
mABR                     	mABR                     	                   4
heat                     	heat                     	                   4
pSCs                     	pSCs                     	                   4
conversion               	conversion               	                   4
episodes                 	episode                  	                   4
men                      	men                      	                   4
classified               	classify                 	                   4
mESHD005662              	mESHD005662              	                   4
signaling                	signal                   	                   4
kg                       	kg                       	                   4
nCBIGene12028            	nCBIGene12028            	                   4
nCBIGene26416            	nCBIGene26416            	                   4
completed                	complete                 	                   4
bio                      	bio                      	                   4
waste                    	waste                    	                   4
nCBITaxon4006            	nCBITaxon4006            	                   4
exposure                 	exposure                 	                   4
statistically            	statistically            	                   4
variability              	variability              	                   4
lifestyle                	lifestyle                	                   4
methylation              	methylation              	                   4
transducer               	transducer               	                   4
wearable                 	wearable                 	                   4
humidity                 	humidity                 	                   4
mESHD014025              	mESHD014025              	                   4
astrocyte                	astrocyte                	                   4
lC3                      	lC3                      	                   4
assembled                	assemble                 	                   4
nCBIGene19164            	nCBIGene19164            	                   4
input                    	input                    	                   4
aMEn                     	aMEn                     	                   4
niches                   	niche                    	                   4
hSCs                     	hSCs                     	                   4
cTB                      	cTB                      	                   4
liposomes                	liposome                 	                   4
restoration              	restoration              	                   4
missouri                 	missouri                 	                   4
uSA                      	uSA                      	                   4
translocated             	translocate              	                   4
nCBITaxon9874            	nCBITaxon9874            	                   4
bMSC                     	bMSC                     	                   4
exo                      	exo                      	                   4
miR                      	miR                      	                   4
nCBIGene307820           	nCBIGene307820           	                   4
nCBIGene10725            	nCBIGene10725            	                   4
polymorphisms            	polymorphism             	                   4
allele                   	allele                   	                   4
mESHD017116              	mESHD017116              	                   4
sham                     	sham                     	                   4
pain                     	pain                     	                   4
mESHD002312              	mESHD002312              	                   3
septal                   	septal                   	                   3
extended                 	extend                   	                   3
left                     	left                     	                   3
mid                      	mid                      	                   3
microenvironment         	microenvironment         	                   3
affinity                 	affinity                 	                   3
receptor                 	receptor                 	                   3
aDCC                     	aDCC                     	                   3
mammalian                	mammalian                	                   3
site                     	site                     	                   3
positively               	positively               	                   3
charged                  	charge                   	                   3
staining                 	stain                    	                   3
neutral                  	neutral                  	                   3
lead                     	lead                     	                   3
selectivity              	selectivity              	                   3
finally                  	finally                  	                   3
activities               	activity                 	                   3
shows                    	show                     	                   3
engineering              	engineering              	                   3
feasibility              	feasibility              	                   3
activation               	activation               	                   3
interfaces               	interface                	                   3
anions                   	anion                    	                   3
either                   	either                   	                   3
organization             	organization             	                   3
reflection               	reflection               	                   3
generation               	generation               	                   3
smaller                  	small                    	                   3
transformation           	transformation           	                   3
transform                	transform                	                   3
needed                   	need                     	                   3
computed                 	compute                  	                   3
centered                 	center                   	                   3
whereas                  	whereas                  	                   3
discussed                	discuss                  	                   3
enhancing                	enhance                  	                   3
alpha                    	alpha                    	                   3
9615                     	9615                     	                   3
facilitate               	facilitate               	                   3
fabrication              	fabrication              	                   3
completely               	completely               	                   3
clear                    	clear                    	                   3
basis                    	basis                    	                   3
chemistry                	chemistry                	                   3
kinds                    	kind                     	                   3
versatile                	versatile                	                   3
enables                  	enables                  	                   3
centre                   	centre                   	                   3
meeting                  	meeting                  	                   3
eligible                 	eligible                 	                   3
met                      	met                      	                   3
international            	international            	                   3
82                       	82                       	                   3
early                    	early                    	                   3
capacity                 	capacity                 	                   3
carbon                   	carbon                   	                   3
88                       	88                       	                   3
97                       	97                       	                   3
77                       	77                       	                   3
event                    	event                    	                   3
hR                       	hR                       	                   3
annotations              	annotation               	                   3
evolution                	evolution                	                   3
resources                	resource                 	                   3
usage                    	usage                    	                   3
frequently               	frequently               	                   3
involving                	involve                  	                   3
learning                 	learn                    	                   3
cardiac                  	cardiac                  	                   3
observation              	observation              	                   3
sites                    	site                     	                   3
oMSs                     	oMSs                     	                   3
diffraction              	diffraction              	                   3
proved                   	prove                    	                   3
prediction               	prediction               	                   3
operator                 	operator                 	                   3
advantages               	advantage                	                   3
fixation                 	fixation                 	                   3
92                       	92                       	                   3
pupil                    	pupil                    	                   3
diameter                 	diameter                 	                   3
combination              	combination              	                   3
mucormycosis             	mucormycosis             	                   3
developing               	develop                  	                   3
adherence                	adherence                	                   3
march                    	march                    	                   3
2019                     	2019                     	                   3
additionally             	additionally             	                   3
recommendations          	recommendation           	                   3
versus                   	versus                   	                   3
022                      	022                      	                   3
awareness                	awareness                	                   3
need                     	need                     	                   3
sequestration            	sequestration            	                   3
concerns                 	concern                  	                   3
worldwide                	worldwide                	                   3
attributed               	attribute                	                   3
tolerance                	tolerance                	                   3
isolates                 	isolates                 	                   3
inhibitory               	inhibitory               	                   3
isolated                 	isolated                 	                   3
matrix                   	matrix                   	                   3
72                       	72                       	                   3
efficacy                 	efficacy                 	                   3
least                    	least                    	                   3
agricultural             	agricultural             	                   3
spinal                   	spinal                   	                   3
cord                     	cord                     	                   3
cross                    	cross                    	                   3
wU                       	wU                       	                   3
aM                       	aM                       	                   3
sCI                      	sCI                      	                   3
setting                  	set                      	                   3
items                    	item                     	                   3
recorded                 	record                   	                   3
walking                  	walk                     	                   3
adequately               	adequately               	                   3
services                 	service                  	                   3
advances                 	advance                  	                   3
synthetic                	synthetic                	                   3
repeated                 	repeat                   	                   3
checkpoint               	checkpoint               	                   3
largely                  	largely                  	                   3
unknown                  	unknown                  	                   3
rapidly                  	rapidly                  	                   3
loss                     	loss                     	                   3
impaired                 	impaired                 	                   3
program                  	program                  	                   3
mESHD007249              	mESHD007249              	                   3
pathway                  	pathway                  	                   3
mESHD009136              	mESHD009136              	                   3
muscles                  	muscle                   	                   3
34                       	34                       	                   3
intervals                	interval                 	                   3
subgroup                 	subgroup                 	                   3
approximately            	approximately            	                   3
suggest                  	suggest                  	                   3
driven                   	driven                   	                   3
enzyme                   	enzyme                   	                   3
biosynthetic             	biosynthetic             	                   3
coupled                  	couple                   	                   3
carrier                  	carrier                  	                   3
authors                  	author                   	                   3
absolute                 	absolute                 	                   3
mESHD005947              	mESHD005947              	                   3
calculate                	calculate                	                   3
final                    	final                    	                   3
discuss                  	discus                   	                   3
pi                       	pi                       	                   3
carried                  	carry                    	                   3
q1                       	q1                       	                   3
running                  	run                      	                   3
microbiota               	microbiota               	                   3
metabolome               	metabolome               	                   3
diseases                 	disease                  	                   3
detailed                 	detailed                 	                   3
unclear                  	unclear                  	                   3
dominant                 	dominant                 	                   3
roseburia                	roseburia                	                   3
enriched                 	enrich                   	                   3
mESHD014443              	mESHD014443              	                   3
microbiome               	microbiome               	                   3
coding                   	cod                      	                   3
french                   	french                   	                   3
2012                     	2012                     	                   3
providers                	provider                 	                   3
2009                     	2009                     	                   3
vaccinated               	vaccinate                	                   3
spontaneously            	spontaneously            	                   3
33                       	33                       	                   3
79                       	79                       	                   3
get                      	get                      	                   3
behavior                 	behavior                 	                   3
81                       	81                       	                   3
94                       	94                       	                   3
knowledge                	knowledge                	                   3
improve                  	improve                  	                   3
endocrine                	endocrine                	                   3
acts                     	act                      	                   3
central                  	central                  	                   3
description              	description              	                   3
progressive              	progressive              	                   3
mESHD006261              	mESHD006261              	                   3
improvement              	improvement              	                   3
resolution               	resolution               	                   3
framework                	framework                	                   3
intended                 	intend                   	                   3
amount                   	amount                   	                   3
regimen                  	regimen                  	                   3
difficult                	difficult                	                   3
t2DM                     	t2DM                     	                   3
lipoprotein              	lipoprotein              	                   3
cholesterol              	cholesterol              	                   3
discussion               	discussion               	                   3
online                   	online                   	                   3
contains                 	contains                 	                   3
fhaB                     	fhaB                     	                   3
adhesins                 	adhesins                 	                   3
catarrhal                	catarrhal                	                   3
served                   	serve                    	                   3
characterization         	characterization         	                   3
virulence                	virulence                	                   3
relevant                 	relevant                 	                   3
stage                    	stage                    	                   3
proliferation            	proliferation            	                   3
pathogen                 	pathogen                 	                   3
108                      	108                      	                   3
accompanied              	accompany                	                   3
shedding                 	shed                     	                   3
housed                   	house                    	                   3
experiments              	experiment               	                   3
known                    	know                     	                   3
contrast                 	contrast                 	                   3
described                	described                	                   3
vaccines                 	vaccine                  	                   3
testing                  	test                     	                   3
newly                    	newly                    	                   3
established              	establish                	                   3
tutorial                 	tutorial                 	                   3
fine                     	fine                     	                   3
linkage                  	linkage                  	                   3
methodology              	methodology              	                   3
temporal                 	temporal                 	                   3
describes                	describes                	                   3
fully                    	fully                    	                   3
valuable                 	valuable                 	                   3
hydrodynamic             	hydrodynamic             	                   3
tunable                  	tunable                  	                   3
taken                    	take                     	                   3
relevance                	relevance                	                   3
theoretical              	theoretical              	                   3
bilayer                  	bilayer                  	                   3
hole                     	hole                     	                   3
plasma                   	plasma                   	                   3
link                     	link                     	                   3
extent                   	extent                   	                   3
labelling                	label                    	                   3
labelled                 	label                    	                   3
subsequently             	subsequently             	                   3
transplanted             	transplant               	                   3
