Word                     	Lemmatized               	           Frequency
binding                  	binding                  	                  23
bio                      	bio                      	                   4
bioaccessibility         	bioaccessibility         	                   2
bioactive                	bioactive                	                   2
biochemical              	biochemical              	                   2
biodegradable            	biodegradable            	                   3
biodiversity             	biodiversity             	                   4
biofilm                  	biofilm                  	                   1
bioinformatic            	bioinformatic            	                   1
biological               	biological               	                   5
biologically             	biologically             	                   1
biology                  	biology                  	                   1
biomimetic               	biomimetic               	                   1
biomorphic               	biomorphic               	                   1
biopsies                 	biopsy                   	                   1
biopsy                   	biopsy                   	                   2
biosynthesis             	biosynthesis             	                   1
biosynthetic             	biosynthetic             	                   3
bipartite                	bipartite                	                   1
biquitinase              	biquitinase              	                   1
bird                     	bird                     	                   1
bisulfate                	bisulfate                	                   1
bitetrazole              	bitetrazole              	                   2
bleeds                   	bleeds                   	                   1
blend                    	blend                    	                   2
blends                   	blend                    	                   2
blind                    	blind                    	                   2
bloating                 	bloating                 	                   2
blocked                  	block                    	                   1
blocker                  	blocker                  	                   1
blocks                   	block                    	                   1
blood                    	blood                    	                   6
blot                     	blot                     	                   1
bo                       	bo                       	                   1
body                     	body                     	                   7
bolus                    	bolus                    	                   2
bond                     	bond                     	                   4
bondable                 	bondable                 	                   1
bone                     	bone                     	                  16
bopC                     	bopC                     	                   1
bordetella               	bordetella               	                   2
botanical                	botanical                	                   2
botox                    	botox                    	                   2
bottlenecks              	bottleneck               	                   1
bottom                   	bottom                   	                   1
botulinum                	botulinum                	                   2
bound                    	bound                    	                   1
brain                    	brain                    	                   2
brasil                   	brasil                   	                   2
brazilian                	brazilian                	                   1
break                    	break                    	                   1
breakpoint               	breakpoint               	                   1
breakthrough             	breakthrough             	                   2
breast                   	breast                   	                   1
breathing                	breathing                	                   1
briefly                  	briefly                  	                   1
bristol                  	bristol                  	                   1
broad                    	broad                    	                   8
broilers                 	broiler                  	                   3
broken                   	broken                   	                   1
btc                      	btc                      	                   2
bteA                     	bteA                     	                   1
bu                       	bu                       	                   1
bulk                     	bulk                     	                   1
burden                   	burden                   	                   1
c32                      	c32                      	                   1
c34                      	c34                      	                   1
c55                      	c55                      	                   1
c57BL                    	c57BL                    	                   2
cA                       	cA                       	                  16
cAM                      	cAM                      	                   1
cD47                     	cD47                     	                   7
cE2982                   	cE2982                   	                   1
cECs                     	cECs                     	                   4
cFRT                     	cFRT                     	                   5
cFT                      	cFT                      	                   1
cI                       	cI                       	                  17
cIS                      	cIS                      	                   1
cIs                      	cIs                      	                   1
cKD                      	cKD                      	                   2
cL                       	cL                       	                   1
cNKI                     	cNKI                     	                   1
cNS                      	cNS                      	                   2
cOD                      	cOD                      	                   1
cRC                      	cRC                      	                   1
cT                       	cT                       	                   2
cTB                      	cTB                      	                   4
cTEs                     	cTEs                     	                   1
cVCL0291                 	cVCL0291                 	                   1
cVCL0320                 	cVCL0320                 	                   1
cVCL9L80                 	cVCL9L80                 	                   1
cVCLX218                 	cVCLX218                 	                   1
ca                       	ca                       	                   6
caIFNalpha               	caIFNalpha               	                   1
cadaver                  	cadaver                  	                   1
cadavers                 	cadaver                  	                   1
calculate                	calculate                	                   3
calculated               	calculate                	                   4
calculating              	calculate                	                   1
calculations             	calculation              	                   1
calixarene               	calixarene               	                   1
called                   	call                     	                   2
calling                  	call                     	                   1
campaigns                	campaign                 	                   1
canc                     	canc                     	                   1
cancer                   	cancer                   	                   1
candidate                	candidate                	                   6
candidates               	candidate                	                   2
canine                   	canine                   	                   1
canton                   	canton                   	                   1
capability               	capability               	                   2
capable                  	capable                  	                   3
capacitance              	capacitance              	                   5
capacity                 	capacity                 	                   3
capillarity              	capillarity              	                   1
capillary                	capillary                	                   5
capital                  	capital                  	                   1
carbon                   	carbon                   	                   3
carbons                  	carbon                   	                   2
card                     	card                     	                   1
cardiac                  	cardiac                  	                   3
cardiology               	cardiology               	                   1
cardiomyocyte            	cardiomyocyte            	                   2
cardiomyocytes           	cardiomyocytes           	                   2
care                     	care                     	                  17
carried                  	carry                    	                   3
carrier                  	carrier                  	                   3
carrying                 	carry                    	                   2
case                     	case                     	                  27
cases                    	case                     	                  11
castagnoli               	castagnoli               	                   2
casting                  	cast                     	                   1
catalyst                 	catalyst                 	                  10
catalysts                	catalyst                 	                   8
catalytic                	catalytic                	                   4
catarrhal                	catarrhal                	                   3
catatonic                	catatonic                	                   1
categories               	category                 	                   2
category                 	category                 	                   1
cathode                  	cathode                  	                   2
cations                  	cation                   	                   1
cattell                  	cattell                  	                   1
cauchy                   	cauchy                   	                   1
causal                   	causal                   	                   2
cause                    	cause                    	                   4
caused                   	cause                    	                   5
cavities                 	cavity                   	                   1
cavity                   	cavity                   	                   6
ce                       	ce                       	                   1
cell                     	cell                     	                  26
cells                    	cell                     	                  30
cellular                 	cellular                 	                  12
center                   	center                   	                  14
centered                 	center                   	                   3
central                  	central                  	                   3
centrality               	centrality               	                   1
centre                   	centre                   	                   3
ceramics                 	ceramic                  	                   1
certain                  	certain                  	                   2
cervical                 	cervical                 	                   1
cessation                	cessation                	                   1
ch                       	ch                       	                   9
chain                    	chain                    	                   4
challenge                	challenge                	                   1
challenges               	challenge                	                   5
challenging              	challenge                	                   3
chamber                  	chamber                  	                   1
change                   	change                   	                   9
changed                  	change                   	                   1
changes                  	change                   	                   5
changing                 	change                   	                   1
channel                  	channel                  	                   3
channels                 	channel                  	                   2
chaperone                	chaperone                	                   1
chaperones               	chaperone                	                   1
character                	character                	                   1
characteristics          	characteristic           	                   9
characterization         	characterization         	                   3
characterize             	characterize             	                   2
characterized            	characterize             	                   5
characterizing           	characterize             	                   1
charge                   	charge                   	                   1
charged                  	charge                   	                   3
charts                   	chart                    	                   1
checklist                	checklist                	                   1
checkpoint               	checkpoint               	                   3
cheiloplasty             	cheiloplasty             	                   1
chemical                 	chemical                 	                  10
chemically               	chemically               	                   1
chemistry                	chemistry                	                   3
chemometrics             	chemometrics             	                   3
chemosystematic          	chemosystematic          	                   1
chemotaxonomic           	chemotaxonomic           	                   3
chemotherapy             	chemotherapy             	                   3
chi                      	chi                      	                   1
chi2                     	chi2                     	                   1
children                 	child                    	                   1
chimeric                 	chimeric                 	                   1
china                    	china                    	                   3
chinese                  	chinese                  	                   7
chip                     	chip                     	                   2
chitosan                 	chitosan                 	                   1
chol                     	chol                     	                   1
cholesterol              	cholesterol              	                   3
chorionicity             	chorionicity             	                   2
chromatography           	chromatography           	                   1
chromogenic              	chromogenic              	                   1
chromosomal              	chromosomal              	                   2
chronic                  	chronic                  	                   5
cigarette                	cigarette                	                   1
cigarettes               	cigarette                	                   1
circadian                	circadian                	                   1
circulated               	circulate                	                   1
cited                    	cite                     	                   2
cities                   	city                     	                   1
civil                    	civil                    	                   1
cl                       	cl                       	                   5
clades                   	clade                    	                   2
claimed                  	claimed                  	                   2
classes                  	class                    	                   4
classical                	classical                	                   1
classification           	classification           	                  10
classified               	classify                 	                   4
classifier               	classifier               	                   1
clear                    	clear                    	                   3
clearance                	clearance                	                   1
clearly                  	clearly                  	                   2
cleavage                 	cleavage                 	                   1
cleaved                  	cleave                   	                   1
cleft                    	cleft                    	                   3
clefts                   	cleft                    	                   1
clinic                   	clinic                   	                   1
clinical                 	clinical                 	                  13
clinics                  	clinic                   	                   1
clip                     	clip                     	                   1
close                    	close                    	                   2
cloud                    	cloud                    	                   4
cluster                  	cluster                  	                   1
clustering               	cluster                  	                   2
clusters                 	cluster                  	                   1
cm                       	cm                       	                   7
co                       	co                       	                  14
coal                     	coal                     	                   3
cochran                  	cochran                  	                   1
cochrane                 	cochrane                 	                   2
cocrystal                	cocrystal                	                   8
cocrystalization         	cocrystalization         	                   2
code                     	code                     	                   1
coded                    	cod                      	                   1
coding                   	cod                      	                   3
coefficient              	coefficient              	                   1
coefficients             	coefficient              	                   1
cognitive                	cognitive                	                   9
cohesive                 	cohesive                 	                   2
cohort                   	cohort                   	                   5
coincidence              	coincidence              	                   1
collagen                 	collagen                 	                   1
collapses                	collapse                 	                   1
collared                 	collar                   	                   1
collect                  	collect                  	                   2
collected                	collect                  	                  12
collecting               	collect                  	                   1
collection               	collection               	                   2
collective               	collective               	                   1
collectively             	collectively             	                   1
collisions               	collision                	                   1
colon                    	colon                    	                   4
colorimetric             	colorimetric             	                   2
colorless                	colorless                	                   1
colour                   	colour                   	                   2
com                      	com                      	                   1
combating                	combat                   	                   1
combination              	combination              	                   3
combinations             	combination              	                   1
combined                 	combine                  	                  14
combines                 	combine                  	                   2
combining                	combine                  	                   4
comes                    	come                     	                   1
commercialization        	commercialization        	                   1
commercialized           	commercialize            	                   1
commitment               	commitment               	                   1
committee                	committee                	                   2
common                   	common                   	                  11
commonly                 	commonly                 	                   2
communities              	community                	                   6
community                	community                	                   9
comparative              	comparative              	                   2
compare                  	compare                  	                   6
compared                 	compare                  	                  33
comparing                	compare                  	                   4
comparison               	comparison               	                   3
comparisons              	comparison               	                   1
competes                 	competes                 	                   1
competitive              	competitive              	                   1
complete                 	complete                 	                   2
completed                	complete                 	                   4
completely               	completely               	                   3
completion               	completion               	                   1
complex                  	complex                  	                  15
complexes                	complex                  	                   2
complexities             	complexity               	                   2
compliance               	compliance               	                   4
compliant                	compliant                	                   1
complicated              	complicate               	                   3
complication             	complication             	                   2
complications            	complication             	                   6
component                	component                	                   4
components               	component                	                   3
composed                 	compose                  	                   6
composing                	compose                  	                   1
composite                	composite                	                   5
composites               	composite                	                   1
composition              	composition              	                   6
compositions             	composition              	                   1
compound                 	compound                 	                   1
compounds                	compound                 	                   6
comprehensibly           	comprehensibly           	                   1
comprehensive            	comprehensive            	                   4
comprehensively          	comprehensively          	                   1
compressed               	compress                 	                   1
compressive              	compressive              	                   1
compressively            	compressively            	                   3
comprised                	comprise                 	                   1
comprising               	comprise                 	                   2
compromise               	compromise               	                   1
compromised              	compromise               	                   1
computation              	computation              	                   2
computational            	computational            	                   6
computationally          	computationally          	                   1
compute                  	compute                  	                   1
computed                 	compute                  	                   3
computer                 	computer                 	                   5
computes                 	computes                 	                   1
computing                	compute                  	                   4
concentrate              	concentrate              	                   3
concentration            	concentration            	                   9
concentrations           	concentration            	                   5
concept                  	concept                  	                   4
concepts                 	concept                  	                   1
concerns                 	concern                  	                   3
conclude                 	conclude                 	                   2
concluded                	conclude                 	                   1
concluding               	conclude                 	                   1
conclusion               	conclusion               	                  14
conclusions              	conclusion               	                  10
concurrent               	concurrent               	                   5
condensation             	condensation             	                   2
condition                	condition                	                   2
conditional              	conditional              	                   1
conditionally            	conditionally            	                   1
conditioning             	conditioning             	                   9
conditions               	condition                	                  13
conducted                	conduct                  	                  11
conductivity             	conductivity             	                   7
conference               	conference               	                   1
confidence               	confidence               	                   2
confinement              	confinement              	                   1
confirm                  	confirm                  	                   2
confirmed                	confirm                  	                   6
confocal                 	confocal                 	                   1
confounding              	confound                 	                   1
conjugated               	conjugate                	                   1
conjugation              	conjugation              	                   1
connecting               	connect                  	                   1
connectivity             	connectivity             	                   1
consensus                	consensus                	                   2
consent                  	consent                  	                   1
consequent               	consequent               	                   1
consequently             	consequently             	                   2
conservation             	conservation             	                   1
considerably             	considerably             	                   1
considerations           	consideration            	                   1
considered               	consider                 	                   5
considering              	consider                 	                   2
consist                  	consist                  	                   1
consisted                	consist                  	                   1
consistency              	consistency              	                  12
consistent               	consistent               	                   5
consisting               	consist                  	                   1
constants                	constant                 	                   1
constituents             	constituent              	                   5
constituted              	constitute               	                   1
constructed              	construct                	                   2
construction             	construction             	                   1
constructive             	constructive             	                   1
consulted                	consult                  	                   1
consumer                 	consumer                 	                   1
consuming                	consume                  	                   1
contact                  	contact                  	                   1
contain                  	contain                  	                   1
contained                	contain                  	                   1
containing               	contain                  	                   9
contains                 	contains                 	                   3
contaminated             	contaminate              	                   1
contamination            	contamination            	                   1
contemporary             	contemporary             	                   2
context                  	context                  	                   1
contig                   	contig                   	                   1
continuing               	continue                 	                   1
continuous               	continuous               	                   1
contraction              	contraction              	                   2
contrast                 	contrast                 	                   3
contribute               	contribute               	                   2
contributed              	contribute               	                   1
control                  	control                  	                  40
controllability          	controllability          	                   1
controlled               	control                  	                   7
controller               	controller               	                   2
controllers              	controller               	                   2
controlling              	control                  	                   4
controls                 	control                  	                   4
controversial            	controversial            	                   1
convenient               	convenient               	                   1
conventional             	conventional             	                   1
conventionally           	conventionally           	                   1
conversion               	conversion               	                   4
convert                  	convert                  	                   1
converts                 	convert                  	                   1
convey                   	convey                   	                   1
cooking                  	cooking                  	                   1
cooperation              	cooperation              	                   3
coordinating             	coordinate               	                   2
coprococcus              	coprococcus              	                   1
cord                     	cord                     	                   3
core                     	core                     	                   1
coriobacteriaceae        	coriobacteriaceae        	                   1
corn                     	corn                     	                   7
corneal                  	corneal                  	                   5
coronaviru               	coronaviru               	                   1
corrected                	correct                  	                   1
correction               	correction               	                   1
corrective               	corrective               	                   2
correctly                	correctly                	                   1
correlate                	correlate                	                   5
correlated               	correlate                	                   1
correlates               	correlate                	                   2
correlation              	correlation              	                   9
correlations             	correlation              	                   4
corresponding            	correspond               	                   1
corrosion                	corrosion                	                   1
corticosteroids          	corticosteroid           	                   1
cost                     	cost                     	                   5
costs                    	cost                     	                   2
council                  	council                  	                   1
counteract               	counteract               	                   2
counterpart              	counterpart              	                   1
countries                	country                  	                   2
country                  	country                  	                   2
counts                   	count                    	                   1
coupled                  	couple                   	                   3
coupling                 	couple                   	                   1
course                   	course                   	                   2
covalent                 	covalent                 	                   3
covariates               	covariates               	                   2
cover                    	cover                    	                   1
coverage                 	coverage                 	                   8
covered                  	cover                    	                   2
covering                 	cover                    	                   1
cracking                 	crack                    	                   1
cranial                  	cranial                  	                   1
craniotomy               	craniotomy               	                   1
cre                      	cre                      	                   1
create                   	create                   	                   2
creates                  	creates                  	                   1
creating                 	create                   	                   2
creation                 	creation                 	                   1
credible                 	credible                 	                   1
crisis                   	crisis                   	                   1
criteria                 	criterion                	                   9
critical                 	critical                 	                  15
cross                    	cross                    	                   3
crosslinkers             	crosslinkers             	                   1
crosslinks               	crosslinks               	                   1
crucial                  	crucial                  	                   2
crude                    	crude                    	                   2
crystal                  	crystal                  	                   4
cu                       	cu                       	                   1
cu2                      	cu2                      	                   2
cu3                      	cu3                      	                   1
cubic                    	cubic                    	                   1
cuff                     	cuff                     	                   2
culture                  	culture                  	                   3
cultures                 	culture                  	                   2
current                  	current                  	                   4
currently                	currently                	                   7
curve                    	curve                    	                   2
cushman                  	cushman                  	                   2
customized               	customize                	                   2
cutaneou                 	cutaneou                 	                   1
cutoffs                  	cutoff                   	                   1
cutting                  	cut                      	                   1
cyanostar                	cyanostar                	                   2
cyanosurf                	cyanosurf                	                   4
cyclability              	cyclability              	                   1
cyclase                  	cyclase                  	                   1
cycle                    	cycle                    	                   5
cycles                   	cycle                    	                   3
cyclic                   	cyclic                   	                   1
cycling                  	cycling                  	                   1
cyclization              	cyclization              	                   1
cyclophosphamide         	cyclophosphamide         	                   1
cyclot                   	cyclot                   	                   1
cytogenetic              	cytogenetic              	                   1
cytokine                 	cytokine                 	                   1
cytometric               	cytometric               	                   1
dA                       	dA                       	                   1
dCM                      	dCM                      	                   8
dIR                      	dIR                      	                   5
dL                       	dL                       	                   1
dLSNNC                   	dLSNNC                   	                   2
dLco                     	dLco                     	                   1
dM                       	dM                       	                   6
dMS                      	dMS                      	                   5
dNA                      	dNA                      	                  14
dONALD                   	dONALD                   	                   1
dOrtmund                 	dOrtmund                 	                   1
dS                       	dS                       	                   3
dSM                      	dSM                      	                   1
dVT                      	dVT                      	                   2
da                       	da                       	                   1
dabco                    	dabco                    	                   2
daily                    	daily                    	                   1
data                     	data                     	                  48
database                 	database                 	                   5
databases                	database                 	                   3
datasets                 	datasets                 	                   5
day                      	day                      	                   2
days                     	day                      	                   8
dcSSc                    	dcSSc                    	                   2
dditive                  	dditive                  	                   1
de                       	de                       	                   1
deals                    	deal                     	                   1
death                    	death                    	                   1
debate                   	debate                   	                   1
debris                   	debris                   	                   3
decade                   	decade                   	                   1
decades                  	decade                   	                   1
deceleration             	deceleration             	                   1
decelerations            	deceleration             	                   1
december                 	december                 	                   1
decided                  	decide                   	                   1
deciphering              	decipher                 	                   1
declaration              	declaration              	                   1
decline                  	decline                  	                   2
declined                 	decline                  	                   3
declines                 	decline                  	                   2
decompose                	decompose                	                   1
decrea                   	decrea                   	                   1
decrease                 	decrease                 	                   4
decreased                	decrease                 	                   7
decreasing               	decrease                 	                   2
deduce                   	deduce                   	                   1
deep                     	deep                     	                   4
deepen                   	deepen                   	                   1
deeper                   	deeper                   	                   1
defective                	defective                	                   1
defects                  	defect                   	                   1
defense                  	defense                  	                   1
deficiency               	deficiency               	                   1
defined                  	define                   	                   2
defining                 	define                   	                   1
definition               	definition               	                   1
definitive               	definitive               	                   1
deformation              	deformation              	                   1
deg                      	deg                      	                   1
degradation              	degradation              	                   1
degrees                  	degree                   	                   1
dehydrogenase            	dehydrogenase            	                   1
delay                    	delay                    	                   1
delayed                  	delayed                  	                   1
delicate                 	delicate                 	                   1
delivered                	deliver                  	                   1
delivering               	deliver                  	                   1
delivery                 	delivery                 	                   4
delphi                   	delphi                   	                   1
delta                    	delta                    	                   4
dem                      	dem                      	                   1
demand                   	demand                   	                   2
demands                  	demand                   	                   4
dematiaceous             	dematiaceous             	                   1
demixing                 	demixing                 	                   3
demographic              	demographic              	                   1
demonstrate              	demonstrate              	                   9
demonstrated             	demonstrate              	                   7
demonstrating            	demonstrate              	                   1
demonstration            	demonstration            	                   1
dense                    	dense                    	                   9
densely                  	densely                  	                   1
densities                	density                  	                   1
density                  	density                  	                   9
deoxyribonucleosides     	deoxyribonucleosides     	                   2
depe                     	depe                     	                   1
depended                 	depend                   	                   1
dependence               	dependence               	                   2
dependent                	dependent                	                   6
dephosphorylate          	dephosphorylate          	                   1
deposit                  	deposit                  	                   1
depositing               	deposit                  	                   1
deposition               	deposition               	                   1
depres                   	depres                   	                   2
depression               	depression               	                   1
depressive               	depressive               	                   1
deprived                 	deprive                  	                   1
deprotection             	deprotection             	                   1
depth                    	depth                    	                   5
depths                   	depth                    	                   1
der                      	der                      	                   1
derivative               	derivative               	                   1
derived                  	derive                   	                   5
des                      	de                       	                   2
describe                 	describe                 	                   6
described                	described                	                   3
describes                	describes                	                   3
describing               	describe                 	                   2
description              	description              	                   3
descriptions             	description              	                   1
descriptive              	descriptive              	                   1
